beacon_id,zone_name,zone_status,zone_id,station_id,clock,sub_station_id,direction,height_inches,pole_type,power_feed,mount_location,power_source,atd_location_id,created_date,created_by,modified_date,modified_by,am_start,am_end,pm_start,pm_end,pm_start_2,pm_end_2,location_name,location,latitude,longitude,unit_address,Source DB ID
7531-359-00,BALDWIN,Active,7531,359,TRUE,0,SB,,4_IN,,,SOLAR,LOC17-008800,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492093800,1492097400,,,12200 BLK MERIDIAN PARK BLVD,"(30.18590663, -97.92161562)",30.18590663,-97.92161562,,
7242-VFY-01,PADRON,Active,7242,VFY,TRUE,1,EB,,4_IN,,,SOLAR,LOC17-010285,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492093800,1492097400,,,2015 BLK W RUNDBERG LN,"(30.3738286, -97.71941164)",30.3738286,-97.71941164,,
7118-166-00,CASIS,Active,7118,166,TRUE,0,SB,84,2_IN,OH,,AC,LOC17-008330,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492092900,1492097400,,,2700 BLK EXPOSITION BLVD,"(30.30524799, -97.76495375)",30.30524799,-97.76495375,,
7315-287-02,DAWSON,Active,7315,287,FALSE,2,EB,93.5,4_IN,OH,,AC,LOC17-009640,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492092000,1492098300,,,500 BLK POWELL CIR,"(30.23501118, -97.76347368)",30.23501118,-97.76347368,,
7223-117-01,PECAN SPRINGS,Active,7223,117,FALSE,1,SB,86,2_IN,OH,,AC,LOC17-009965,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492072200,1492093800,1492100100,,,3008 BLK ROGGE LN,"(30.30320935, -97.67869878)",30.30320935,-97.67869878,,
7101-139-00,ALLAN,Active,7101,139,TRUE,0,EB,82,2_IN,OH,,AC,LOC17-007620,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492101000,,,4600 BLK GONZALES ST,"(30.25682089, -97.70056205)",30.25682089,-97.70056205,,
7113-158-00,BLACKSHEAR,Active,7113,158,TRUE,0,WB,98,4_IN,OH,,AC,LOC17-008145,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492072200,1492093800,1492097400,,,1800 BLK ROSEWOOD AVE,"(30.26971524, -97.7193749)",30.26971524,-97.7193749,,
7305-177-01,FULMORE,Active,7305,177,FALSE,1,WB,90.15,2_IN,OH,,AC,LOC17-009470,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065000,1492072200,1492093800,1492100100,,,850 BLK E LIVE OAK ST,"(30.23860166, -97.74586055)",30.23860166,-97.74586055,,
7107-134-01,BROOKE,Active,7107,134,FALSE,1,SB,91,2_IN,OH,,AC,LOC17-009360,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,400 BLK N PLEASANT VALLEY RD,"(30.25628559, -97.71135705)",30.25628559,-97.71135705,,
7120-169-01,MATHEWS,Active,7120,169,FALSE,1,NB,98,2_IN,OH,,AC,LOC17-009455,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492093800,1492097400,,,800 BLK WEST LYNN ST,"(30.27704934, -97.76118275)",30.27704934,-97.76118275,,
7309-272-01,ALLISON,Active,7309,272,FALSE,1,WB,98.5,2_IN,OH,,AC,LOC17-010000,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492072200,1492092000,1492100100,,,614 BLK MONTOPOLIS DR,"(30.23806914, -97.69514974)",30.23806914,-97.69514974,,
